RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
Gateway,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,1495,294500,286950,294500,299950,296000,286400,298450,298450,298950,272000,273500,269900,282300,274900,277000,271700,284500,279900,279900,284950,299450,299900,299900,308500,299949.5,299900,299000,294402.5,294099,296202.5,289900,299000,298750,296247.5,289000,286950,286450,290298,294500,298000,297499,294950,297000,295000,299450,299450,288450,289950,292450,299900,299950,307900,3.00E+05,299900,299900,284950,289250,285000,299800
Yardville-Groveville,Hamilton Township,NJ,Trenton,Mercer County,1496,239249.5,225000,225000,236500,254900,247000,256450,257500,248750,243000,235000,239900,231000,229950,242000,259900,254900,259900,259900,255499.5,252949.5,249900,254000,254000,254250,251950,249900,244068.5,249900,249900,259400,254400,259900,239900,249900,245750,244900,249900,257999,259450,269900,272375,269900,261450,269900,269900,269500,269900,269500,276500,269900,268000,259950,264900,254500,275000,275000,265000,259000
Pinehurst,Everett,WA,Seattle-Tacoma-Bellevue,Snohomish County,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349950,354950,350000,354950,362450,369950,373700,379925,384950,384950,384950,384950,370000,350000,365000,348000,340000,349950,357475,351944,385000,359950,360000,373865,349950,366738,360000,359950,370000,374875,369000
Twin Rivers,East Windsor Township,NJ,Trenton,Mercer County,1498,,,,,,,,,,,,,,,,,,,,,,,,,178250,178250,177300,188500,194000,212324.5,194000,196250,209900,209650,224900,224900,217400,214900,214900,227450,227250,235500,220000,235000,234950,232000,229000,229000,227000,227000,229900,229900,225000,216900,225000,219000,224900,219000,212325
River Oaks-Brookhollow,Abilene,TX,Abilene,Taylor County,1499,150000,148750,155000,155000,168250,173900,168500,174950,176950,169500,170000,167500,167500,164750,174772,169900,168900,159500,164450,165000,162800,164500,162400,159600,154900,165000,167000,170500,179000,169900,177250,184700,184500,179900,179900,179900,169900,179900,184900,179900,179450,187500,179900,179900,189900,195900,198900,195950,194900,190000,202950,199900,206000,199900,189900,187000,188450,184900,184950
Las Sendas,Mesa,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1500,410000,417000,409900,410000,415000,427500,410000,409900,399000,399700,399250,410000,422450,399900,399000,430000,417250,424900,418700,450000,439275,444650,450000,450000,484500,499900,455000,450000,485000,476500,475000,475000,487000,480000,468250,532500,562000,542000,535000,525000,515000,499000,499000,444000,480000,485750,485750,499000,474950,483900,454500,450000,422400,450000,453000,448539.5,439000,439000,475500
Berrys Chapel,Franklin,TN,Nashville-Davidson--Murfreesboro--Franklin,Williamson County,1501,,,,,,,,,,,,,,429900,389900,394082,401615,425000,425000,425000,415000,397000,399793,399041,414900,429900,412500,464450,459450,469000,470000,457450,427450,435000,441249.5,442499.5,411950,402250,389900,422500,425000,482450,507500,489499.5,424900,422400,424900,412000,389900,389900,449000,449000,459950,459950,469500,443950,436950,439450,444945
West Augusta,Augusta,GA,Augusta-Richmond County,Richmond County,1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239900,237100,229900,224550,212400,217300,215000,212199.5,214900,199900,204950,219949.5,220000,214900,214950,199700,202250,219450
Otter Creek Crystal,Little Rock,AR,Little Rock-North Little Rock-Conway,Pulaski County,1503,154950,155000,155000,155950,159200,159400,158000,159700,159900,162950,164900,167500,166500,159900,159900,165000,166999,174000,170950,168249.5,174900,175000,172400,160950,165950,169900,164900,179950,180697.5,180747,179999,178950,179900,179900,180000,178500,175000,171000,170450,170450,169900,168900,163700,166900,174000,170000,174900,174950,177400,169950,174900,178500,166000,172450,175000,174750,174500,174950,182500
Robla,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296500,290000,294000,285250,284500,296550,293000,299000,305000,306550,320000,320000,316995,309000,312500,300851,308100,310000,319000,310000,304750,299500,317450,315000,322651,344750,337500,330000,330000,335000,337250
Central Downtown,Lexington,KY,Lexington-Fayette,Fayette County,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,347500,314275,3.00E+05,349000,345000,343500,339900,344900,344900,344900,339000,342400,342400,344900,299900,291750,289000,276500,281950,286950,284900,279900,279900,279450,261950,264000,259200,254250,265000,260000
Rabbit Creek,Anchorage,AK,Anchorage,Anchorage Borough,1506,526500,544450,575000,594450,599900,582450,569900,589900,597000,555000,630000,595000,598950,620000,599000,589000,609450,609450,585000,589000,586250,569800,568500,560000,570000,575000,575000,586500,585000,569450,552777.5,572000,579000,575000,579000,579000,579000,579000,570000,575000,573750,592000,597000,595000,599000,589000,599000,589000,584500,578500,6.00E+05,648900,650000,665000,678500,658285,650000,649750,637000
South East Lake,Birmingham,AL,Birmingham-Hoover,Jefferson County,1507,48000,39900,42999,44900,48000,48950,49900,45000,49900,50000,49900,48950,47700,42999,49900,54900,54900,53900,51200,54900,53650,50000,49900,50000,52450,55250,53500,50000,49000,48355.5,45900,47500,47900,46750,45900,45000,44500,45000,46250,49100,47225,46250,42250,46250,49000,50000,50000,50000,51000,52800,54000,56000,52450,58250,55000,59204,57650,66900,62450
Boulevard District,Aurora,IL,Chicago-Naperville-Elgin,Kane County,1508,166900,172400,175900,179900,184900,189900,189450,189900,198000,189950,184900,178000,174950,174900,174900,175000,189000,189450,184700,175950,175000,174950,176900,173500,174950,176900,179500,178500,184900,179900,202000,199900,189900,189900,189900,189900,199900,199900,199900,2.00E+05,210950,203950,217400,219950,209900,204000,199900,192900,201950,204900,209900,209900,209900,214900,218500,203900,207900,208900,209900
Vista East,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,1509,209900,197200,211200,217800,220300,237900,234900,255000,255000,241500,234900,224200,219500,209900,214900,245000,250000,255000,249900,249900,249700,248450,240000,234900,245900,249900,257450,266000,299000,289900,255000,259999,279999.5,283471.5,284760,295000,305000,309000,294000,298999.5,299999,289000,288500,307500,314900,314950,319500,319000,317828,319000,323990,291000,285000,286000,295250,285000,290750,294000,305000
Genesee,Seattle,WA,Seattle-Tacoma-Bellevue,King County,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,687603,729900,749974.5,729900,687500,687000,675000,675000,754000,775000,750000,675000,697450,660000,659950,650000,659950,670000,699975
Bloomfield-Allen,Des Moines,IA,Des Moines-West Des Moines,Polk County,1511,170950,173500,183000,179949.5,182500,174900,175500,181000,183000,175000,175000,175000,179900,184900,195000,195000,198750,2.00E+05,204900,205150,202200,200400,199900,200200,200200,2.00E+05,200150,205000,206900,207450,215000,214950,217900,212450,209900,211800,199950,209900,220000,221250,211120,209450,209900,219900,228950,227500,217000,217000,217450,205000,202450,209900,217700,216450,218900,216000,213500,213500,225000
Broad Ripple,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,1512,184900,184900,187500,197777,209900,209900,198500,188400,181700,187500,189000,187500,184500,194200,205000,206000,201500,199950,209900,199900,209900,199900,199999,199000,199000,215000,225000,224950,225000,225000,232400,229900,219900,219900,212450,217450,212450,224900,236450,255000,265000,259900,249450,249950,249900,244000,250000,249500,244900,235000,244900,254900,249950,249950,249450,249900,239900,239900,239900
Brighton Heights,Pittsburgh,PA,Pittsburgh,Allegheny County,1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160900,174000,176950,171950,165000,169900,169900,170999,165000,164750,164750,162000,164999.5,165000,165000,165000,165900,165900,174500
Homeacre-Lyndora,Butler Township,PA,Pittsburgh,Butler County,1514,142950,129900,129900,144900,144900,149900,144900,149000,144500,152250,139900,139900,137500,138000,138000,149700,136450,149450,154900,139950,120000,121300,137400,148999,149900,149449.5,148249.5,144900,149900,160000,169900,167450,165000,164750,165000,165000,169900,169900,179900,167450,159900,165000,164900,148950,141450,155000,143000,147500,149900,148450,143450,159900,167000,171655,169900,169000,169900,169900,167000
Gatewood,Seattle,WA,Seattle-Tacoma-Bellevue,King County,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595000,650000,669000,699000,733500,725000,725000,685000,720000,659000,669000,677500,679950,694950,669950,649950,614000,619225,557475,549975,585000
Secret Cove,Jacksonville,FL,Jacksonville,Duval County,1516,,,,,,,,,,,,,,,,,164925,169850,162450,169500,179850,185400,187900,189900,188000,199000,195000,191800,187350,176500,165000,184444,189900,191200,189900,179450,148899.5,149900,169500,165800,169600,169600,178500,162000,184950,183900,168450,155750,152000,154500,157900,155000,161250,168000,165000,164900,179900,179900,161950
Heather Ridge,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,1517,,,,,,,,,,,,,,,,195000,194900,204950,210000,210000,225000,220000,217500,219900,213750,219900,242500,249999,249999,249900,259999,252250,249000,250000,250000,254950,285000,264900,275000,267500,270000,275000,289950,289000,278500,275000,270000,270000,269000,289000,281750,270000,269000,266750,264500,266000,269500,269750,271900
South Side,West Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1518,,,,,,,,,,,,,,,,,,,599000,524900,555000,575000,531750,539000,565000,577000,597000,556500,607000,6.00E+05,584500,597000,605000,649000,701749.5,650000,649000,699500,749900,732000,755000,799000,750000,749000,690249.5,702262.5,699000,755000,662000,687000,699000,662500,653000,680000,579000,612450,639450,659000,774450
Elliot Park,Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435000,425000,392450,399900,404950,371950,384950,415000,407500,4.00E+05,424900,394700,394900,389950,399900,444950,431000,419000
Midtown,Harrisburg,PA,Harrisburg-Carlisle,Dauphin County,1520,107000,107000,109900,109400,109000,105450,105000,109450,105900,104950,1.00E+05,103350,111200,108000,109900,114450,115000,115000,115450,119000,118900,119900,116900,124900,119900,119900,119950,120000,124900,124900,127500,127500,124950,125500,125000,129900,125000,127250,124900,126500,129400,129900,128900,127500,129900,124900,119700,119900,118700,128950,129900,129900,129950,130000,129900,126000,128000,124900,126900
Kirkwood,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1521,279900,279000,290000,299900,325000,329000,344450,339900,330000,344950,332450,382000,374000,399900,393850,380000,350000,375000,355000,360000,390450,379700,399950,435000,412450,435000,452449.5,442000,449000,492450,454900,449000,449000,425000,437450,425000,385000,415000,447900,472450,489900,499800,484950,485000,485000,490575,475000,489900,497900,475603.5,475203.5,465000,439000,432450,435000,464950,462500,427450,462499.5
Overlook,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470000,425000,459500,477000,464900,475000,470000,469500,430000,427450,444450,434450,419900,425000,465000,472000,502450,499850,429450,464925
Arcade Creek,Citrus Heights,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239999.5,249900,240000,256500,261800,262000,237999,249450,230000,232450,245000,254500,270000,279900,274900,283987.5,299000,299000,312000,319900
Old City,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,1524,359000,339900,393999.5,379900,389900,407450,425900,439900,452500,412450,415000,405900,434999,449900,424999,397400,379000,399900,399947.5,452500,450000,439000,433000,444450,449000,433950,425000,397000,389000,369900,389000,415000,415000,419000,419500,389900,394900,385000,404500,415000,409500,379000,358750,350000,349450,350000,385000,385000,387450,392450,395000,4.00E+05,410000,410000,425000,418950,455000,449900,419000
Baldwin Park,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609000,649500,599000,510000,475000,475000,489000,499000,467000,457950,476250,489950,507500,489950,494950,479000,529000,582500,569000,562500,560000,515000,509900,517450,539500
Mapleton-Fall Creek,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,158400,171400,159999,159999,179900,179900,177400,189900,189900,167700,177500,182450,189900,209900,210000,209950,196350,197700,199900,196400,199500,209900,222450,226500,225000,219950,244950,254500,253950,248450,237450,241950
Sea Pines,Hilton Head Island,SC,Hilton Head Island-Bluffton-Beaufort,Beaufort County,1527,525000,545000,525000,525000,525000,549000,572500,525000,557000,569000,599000,575000,599000,667500,639000,620000,599000,575000,565000,569000,599000,599000,565000,579000,574900,549900,599000,599000,599000,649000,675000,659000,649700,629900,639500,649000,639500,649000,649000,696800,689000,679000,674500,675000,695000,649000,629000,647000,625000,599999,599000,599000,599950,649000,611500,627000,649500,634450,637000
South Hampton,Saint Louis,MO,St. Louis,Saint Louis City,1527,,,,,,,,,,,,,,,154450,164900,161500,164900,158450,159450,159900,159450,154000,150700,154900,159900,159900,159900,169900,173000,173000,161950,164900,161950,162450,164900,162400,165000,169900,169900,175000,187450,179900,174900,178450,174950,174900,169900,167450,167450,162450,175000,179900,183445,186200,187500,189900,189900,194450
South Reno,Reno,NV,Reno,Washoe County,1529,324670.5,328950,334250,338425,349000,349000,368950,374950,374900,379900,384950,384950,385475,394742,376972.5,383000,393700,396178,396539,396586.5,399000,399000,397247.5,405764,405995,408500,406997.5,409000,417995,429900,439000,449400,475947.5,461447.5,456192.5,460995,485000,469900,475000,484900,477947.5,475000,486950,498800,489000,489000,489900,496995,501995,499950,479000,465000,459975,479000,475000,474950,474500,469500,484900
Indian River Estates,Fort Pierce,FL,Port St. Lucie,Saint Lucie County,1530,,,,149900,149500,149500,149700,142400,139900,164900,155200,155900,159900,159000,162700,160000,159900,164900,159450,157950,159000,149999,159000,169900,169900,168500,175000,175000,175000,169900,193500,177250,174700,179500,176850,178800,180000,179900,185700,199900,199000,196950,190000,186950,189900,194900,197400,199400,199900,199250,199900,192200,189900,196950,195000,197000,217500,219000,219000
Waltherson,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,1531,,,,,,,,,,,,,,144900,139500,131950,140000,159900,159900,159000,149900,139900,139900,139900,140000,140000,149900,149900,150000,157000,159900,169900,164900,159950,150000,149900,159000,165000,163400,179900,157900,179900,179000,174950,165000,165000,174900,179971,189900,179935,179900,174900,170000,170000,168999,169450,172400,169900,168200
Cedar Grove,Panama City,FL,Panama City,Bay County,1532,199000,201500,219900,219900,225000,215000,214950,215000,219900,215000,227450,221400,225000,217900,222950,220000,231950,222500,235400,231000,222950,235000,236550,229500,231000,229750,224950,212500,205000,209900,209945,206287.5,205000,210000,210000,214450,204500,202000,201000,228750,232000,229900,229000,234900,238787.5,235000,229900,239037.5,247900,232900,231450,235000,234450,241450,245000,240000,234900,230000,239500
Cherry Creek,Denver,CO,Denver-Aurora-Lakewood,Denver County,1533,770000,770000,745000,814500,789900,760000,779000,795000,770000,799000,827450,9.00E+05,889500,899900,916000,875000,879500,849900,839999,825000,875000,840000,893250,893250,850000,850000,852450,839000,834450,824000,849500,890000,1050000,992450,997000,1120000,999500,1099500,1049000,1095000,1050000,1050000,1099450,1100000,1140000,1102500,1100000,1124900,1100000,949000,999000,981500,999000,999000,1020000,1060000,1053667.5,1024375,1097700
Norwood Park West,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312450,319900,316950,334950,319000,312000,314000,318750,310950,309900,312000,348900,338950,339400,359945,350000,352495,349500,329500,329900
Torringford,Torrington,CT,Torrington,Litchfield County,1535,139900,139900,139950,143950,147400,165000,162900,164250,164000,146699.5,144900,145899,144900,149900,145000,159900,162400,152450,146700,149900,149000,139947.5,159900,158900,164900,159900,159900,169900,162000,179900,198750,189900,185400,189450,179900,164900,148450,154900,169900,167450,165000,165000,163400,156900,159900,154900,157400,149900,155450,155450,164900,158000,158900,177400,184900,188900,187400,174900,172500
Black Mountain Ranch,San Diego,CA,San Diego-Carlsbad,San Diego County,1536,1099000,1145000,1159000,1150000,1185000,1195000,1149000,1199900,1349950,1247400,1295000,1250000,1286450,1267450,1299000,1335000,1498000,1488000,1396000,1298500,1249000,1250000,1324450,1398500,1322349,1299900,1249000,1275000,1227000,1267500,1298880,1348300,1299000,1349500,1149000,1269900,1388000,1399000,1349500,1475000,1530000,1466450,1390000,1348900,1460000,1301765.5,1255000,1299000,1250000,1199000,1199000,1199000,1185000,1215000,1282500,1260000,1200000,1243500,1269500
Reservoir,Little Rock,AR,Little Rock-North Little Rock-Conway,Pulaski County,1537,169500,174900,169000,174900,169250,169700,169500,169900,159900,159900,162400,162900,164900,164900,167200,169000,170700,159950,159000,161500,164750,164500,163250,171000,169450,171000,173200,171000,176500,177500,176250,171900,171500,169900,174900,174950,172000,170750,170000,174450,184900,178500,179000,170000,179900,180000,174997,172500,174900,170734.5,185000,179900,179999,180000,178250,170748,180000,181500,179900
Northeast Neighbors,Salem,OR,Salem,Marion County,1538,142450,144900,149900,149900,152450,159999.5,159700,159500,167450,160000,162450,157250,159500,155000,164950,161000,169900,187450,185000,176900,187900,185000,186450,184900,189000,187000,184900,194950,202950,212500,218250,220000,210000,215000,204999.5,229900,236449.5,227450,242400,244950,239900,245200,242449.5,244900,225000,219900,224900,225000,226000,234500,237000,249900,253900,262500,250000,245000,247450,249900,249000
Victoria Park,Fort Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1539,619000,599000,577000,569000,567000,542000,549000,562000,549900,530000,525000,549000,541450,522450,540000,575000,585000,609000,599000,599450,642500,639950,614900,599000,595000,580250,569889,569889,599000,629450,635000,624999,609000,636500,639000,629000,599500,615000,624999,629000,642000,648450,639000,624999.5,629900,624950,6.00E+05,6.00E+05,6.00E+05,605000,622500,634500,650000,650000,642000,609500,595000,597000,599000
Sheridan Gardens,Des Moines,IA,Des Moines-West Des Moines,Polk County,1540,110000,114900,119000,119000,115250,117900,116200,115000,114950,124950,117900,116450,114900,114900,114900,115000,116050,118000,128950,126900,125000,124900,116250,117000,115250,115500,120000,127200,127900,132450,139950,139000,132400,125000,124900,123900,129000,129450,130000,129900,139900,155000,159900,153700,149900,144900,157250,154900,154900,147400,149450,149900,149900,149950,152450,144945,149900,147900,145000
West Loop Gate,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1541,302450,314500,299900,304777.5,299000,297000,299999.5,3.00E+05,299900,295000,295000,289000,285000,292400,325000,327000,349950,315000,299900,299700,307250,320000,339900,340000,362450,350000,335000,352450,354900,341469,346950,352450,357500,349950,356231,343900,334000,324500,319000,339900,385000,375000,375000,380000,389900,388500,350000,349950,359900,375000,384950,395000,385000,385000,385000,369500,375000,359900,370000
Mayfair,Baton Rouge,LA,Baton Rouge,East Baton Rouge Parish,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184500,189000,199500,199000,219900,199500,199000,217500,219000,212000,212500,193950,199999,212000,224000,234500,224450,245000,240925,239400,242050
Tampa Heights,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,241999.5,246999.5,246999.5,247499.5,244999,250000,259000,250000,254950,275000,287200,279900,280000,281100,294950,339144
Sunrise Neighborhood Coalition,San Antonio,TX,San Antonio-New Braunfels,Bexar County,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134000,125000,119500,119500,129900,126500,135000,135000,139900,135000,130000,130000,135249.5,137450,128000,117500,125500,138200,134999,135000,133000,135000
Fairwood,Baton Rouge,LA,Baton Rouge,East Baton Rouge Parish,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143700,144900,144900,141200,150000,164500,169900,160000,170000,150000,155000,158600,169900,165000,169900,165000,167450,169450,164900,159900,156450,164900,175000,165000,164700,165000,169900,165000,164900,161250,169200
Tremont,Cleveland,OH,Cleveland-Elyria,Cuyahoga County,1546,,,,279900,295000,339900,355000,359000,314949.5,354000,354000,324450,324450,365000,344450,320000,339900,339900,319900,3.00E+05,289900,292491.5,278700,298900,298900,308900,329900,324950,329900,344900,344900,339900,369900,383950,389000,389000,389000,389000,394900,397450,394950,426837,389450,349900,337650,351200,355400,369900,379999,390000,420000,379000,369900,407150,414900,420000,415800,409800,404850
Union Park,Des Moines,IA,Des Moines-West Des Moines,Polk County,1547,,,,,,,,,,,,,,,,,,,,,,,,,,114950,104500,97950,1.00E+05,93950,94500,99900,95000,89950,90000,89900,89900,89900,97500,106500,108950,107450,105000,115000,115000,114900,115000,115000,109900,114900,114900,114900,110000,112450,110000,110556,114900,120000,115950
Patterson Park,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,1548,189450,189000,190000,189450,189000,189900,184990,179000,179000,179000,185000,187450,159999,169900,174250,204900,197750,209900,234950,229750,239900,239000,237500,236450,231950,229000,229000,229000,234929,234000,231400,229900,225000,229000,219950,221250,225000,234900,234777,229900,234900,225000,219900,229900,239900,237900,231900,234900,225000,225000,230000,232450,235000,234950,235000,229700,229000,225000,214500
Uptown,New Orleans,LA,New Orleans-Metairie,Orleans Parish,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698500,739000,689000,692000,736500,650000,645000,619000,570000,620000,673000,760000,784500,799000,749000,624000
West Glens Falls,Town Of Queensbury,NY,Glens Falls,Warren County,1550,184000,189900,183700,184900,184500,170700,169900,178450,174900,174900,162500,174900,179450,179900,179900,193900,185950,187450,187450,196450,194900,214900,234450,239900,239000,244900,242400,244900,224400,229900,219950,219950,200543.5,207172,228500,204900,222950,225000,234800,255000,225000,225000,228900,229900,232000,227450,229900,227450,227400,224900,231400,209000,199900,222000,217000,209450,194000,185000,167000
Howard Park,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,196100,199999,199450,199900,197400,195000,198500,189900,189900,195000,199999,189900,189900,199000,197000,185750,179900,186200,176900,193000,175250,174900
Northern Liberties,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,1552,429950,402250,419000,434500,479900,429000,450000,450000,399450,425000,450000,474900,479990,499000,499945,550000,549000,534000,535000,539000,530000,525000,522445,522445,499945,499450,499900,490000,487000,480000,513250,506800,515000,514945,524995,499900,499900,524900,534900,529950,529900,534450,525000,495000,521000,499900,496000,499900,499900,499000,495000,495000,470000,452980,470000,470000,475000,475000,497000
Town Plot,Waterbury,CT,New Haven-Milford,New Haven County,1553,122500,119900,124900,122400,119900,108950,108950,108950,111450,110000,109950,109900,109900,108950,109900,109900,109900,113900,122900,122400,124900,119900.5,119900,114900,114401,114950,115000,122400,129900,129900,126900,128900,127400,119900,124900,124900,122200,129900,129900,133750,133750,135000,135450,129900,135000,139900,139900,139900,139900,139900,139900,139000,139900,139900,139900,139450,136900,136900,139000
Del Mar Heights,San Diego,CA,San Diego-Carlsbad,San Diego County,1554,,,,,,,,,,,,,,,,,,,,,,,,1887000,1891000,1747000,1887000,1745000,1595000,1555000,1550000,1567000,1575000,1575000,1522499.5,1499000,1499000,1497000,1495000,1499000,1545000,1745000,1634000,1671000,1635000,1653500,1590000,1498000,1580000,1550000,1635000,1595000,1617000,1635000,1762499.5,1642000,1635000,1597000,1597000
Chugiak,Anchorage,AK,Anchorage,Anchorage Borough,1555,295000,299500,342900,354000,364000,337500,335000,311950,358500,341500,327499.5,314974.5,315000,335000,349950,386000,392500,382500,365000,349000,369000,369000,369000,377000,388000,385000,385000,355000,388000,382500,365000,392500,387500,395000,394000,369900,369000,376950,387000,379900,369900,380000,387000,399000,389000,381750,392450,404975,407500,399925,399900,413000,405000,399950,395000,395000,395000,395000,396950
Rockaway Borough,Rockaway Township,NJ,New York-Newark-Jersey City,Morris County,1556,,,,265000,285588,299900,315000,299999.5,317000,299999.5,305000,319450,302000,309900,347450,327000,304999,298950,289999,299900,290900,289900,259900,271750,268500,269450,294900,299900,299000,279000,275000,279900,277450,265000,281950,279900,279900,276200,275000,299900,305000,305000,325000,324950,329000,336450,349900,349900,355000,349000,349000,339500,349000,349000,350000,349000,319000,324900,340000
Lake Arbor,Arvada,CO,Denver-Aurora-Lakewood,Jefferson County,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374900,350000,386850,335000,345000,367250,359500,357200,345000,295000,327450,350000,315000,354900,382450,388000,350000
Dunlap,Seattle,WA,Seattle-Tacoma-Bellevue,King County,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489990,488000,456500,470000,493975,475000,464944,465000,476500,489950,494950,490000,488000,488000,493995,475000,460000
Goose Hollow,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,1559,,,,,,,,,,,,,,,,,,,,,,,,,,425000,412500,412500,410000,410000,419000,439375,430000,427400,4.00E+05,394450,399408.5,399408.5,384900,407000,4.00E+05,399900,389900,375000,375000,376950,369900,369500,367250,365000,362900,349900,354900,372000,372000,379900,378700,377900,382450
Great Neck Plaza,Great Neck,NY,New York-Newark-Jersey City,Nassau County,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448500,416000,4.00E+05,418000,418000,416500,428000,486000,503000,478000,454500,474000,443250,423440,418000,428000,428000,456500,468444,468000,423500,438000,438000,438000,428999.5,468000,475000,428000,420000
Reservoir Hill,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207949.5,204949.5,231950,249000,212400,225000,242500,254950,254950,244450,229000,230000
Kirkmere,Youngstown,OH,Youngstown-Warren-Boardman,Mahoning County,1562,58000,58000,59900,59900,67000,69900,69900,66900,64900,64900,67200,65000,61499.5,59994.5,59900,64000,66400,67000,67000,67900,69900,69900,67450,65250,65250,68900,69900,72200,72200,75500,73500,71200,66900,64900,62000,62250,60000,60000,64900,64900,65000,65000,69950,70000,70000,69250,74900,74900,80000,80000,88400,82250,77450,83200,84000,83950,79500,76295.5,75392
Hegewisch,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1563,,,,,,,,,,,,,,,,124900,130000,135000,129450,114900,114900,119900,113500,114900,119900,129900,124900,132820.5,126900,134900,134900,134900,128900,125000,124950,127900,127900,135000,138000,138000,139375,139000,144900,139000,128950,125000,129950,130000,124900,124900,139900,144900,139900,145450,144900,145000,139900,139900,138000
North Ponce de Leon,Coral Gables,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1564,377000,351000,329950,350000,350500,355900,355000,340000,360000,364500,375000,374900,370000,352000,369900,369950,359500,350000,350000,351000,365000,352000,358000,351000,352000,374900,392450,399500,375000,359900,357500,365000,348000,348000,350000,346500,348000,355000,370000,375000,377000,379900,370951,362450,367450,379000,352000,352000,352000,348000,348500,348500,339575,348500,332000,330000,349000,355950,359900
McGregor,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,1565,,277000,284450,273750,311950,314000,299950,294450,249000,247000,274450,269000,264750,279000,249900,248000,260000,289900,280400,275000,275000,265000,280950,276900,274900,285000,289450,289000,284499,289000,291200,290500,289900,305000,319000,319000,315000,312500,299000,329000,318000,324450,310000,325000,322450,329000,349999,329900,324900,324900,339700,319250,339900,324900,314900,329450,320950,327950,319000
